status;agency_reference;type;purpose;address;complement;district;complex;city;sell_price;rental_price;complex_fee;property_tax;bedrooms;suites;parking_spaces;date_added;total_area;area;number;full_address;agency;latitude;longitude
Cancelado;AD0008;Apartamento Duplex;Residencial;Avenida Onze de Junho 970;apto.101;Vila Clementino;Edifício Porto Seguro;São Paulo;0.0;4000.0;3200.0;850.0;3;3;4;2017-11-17 00:00:00.000;0.0;348.0;970;Edifício Porto Seguro, Avenida Onze de Junho 970, Vila Clementino, São Paulo;NuDoor;-023.6013200000;-046.6463100000
Cancelado;AP2159;Apartamento;Residencial;Rua Doutor Rafael de Barros 174;apto 42;Conjunto Residencial Paraíso;Corumba;São Paulo;1260000.0;0.0;1200.0;0.0;3;1;1;2019-01-09 00:00:00.000;195.0;120.0;174;Corumba, Rua Doutor Rafael de Barros 174, Conjunto Residencial Paraíso, São Paulo;NuDoor;-023.5723800000;-046.6461000000
Cancelado;AP2286;Apartamento;Residencial;Rua Machado Bitencourt 413;apto 41;Vila Clementino;Mallard;São Paulo;1730000.0;4400.0;2200.0;730.0;4;1;2;2019-04-24 00:00:00.000;288.0;177.0;413;Mallard, Rua Machado Bitencourt 413, Vila Clementino, São Paulo;NuDoor;-023.5985000000;-046.6383900000
Ativo;CO0053;Cobertura;Residencial;Rua Curitiba 311;433;Ibirapuera;Cobertura;São Paulo;24000000.0;0.0;10100.0;0.0;4;4;6;2019-11-21 00:00:00.000;0.0;595.0;311;Cobertura, Rua Curitiba 311, Ibirapuera, São Paulo;NuDoor;-023.5819900000;-046.6533200000
Ativo;AP2653;Apartamento;Residencial;Rua Curitiba 37;37;Ibirapuera;Curitiba Cobertura;São Paulo;24000000.0;0.0;10889.0;0.0;4;4;6;2019-11-21 00:00:00.000;0.0;590.0;37;Curitiba Cobertura, Rua Curitiba 37, Ibirapuera, São Paulo;NuDoor;-023.5796000000;-046.6548900000
Ativo;AP2658;Apartamento;Residencial;Rua Doutor Amâncio de Carvalho 459;1;Vila Mariana;Ibirapuera Belvedere;São Paulo;1900000.0;0.0;1400.0;600.0;3;3;3;2019-11-22 00:00:00.000;0.0;118.0;459;Ibirapuera Belvedere, Rua Doutor Amâncio de Carvalho 459, Vila Mariana, São Paulo;NuDoor;-023.5849900000;-046.6476600000
Ativo;AP2654;Apartamento;Residencial;Rua Caravelas 138;1;Vila Mariana;Dot Ibirapuera;São Paulo;870000.0;0.0;900.0;523.0;2;1;1;2019-11-21 00:00:00.000;0.0;62.0;138;Dot Ibirapuera, Rua Caravelas 138, Vila Mariana, São Paulo;NuDoor;-023.5820300000;-046.6483400000
Ativo;AP1975;Apartamento;Residencial;Rua Dona Carolina 60;1;Vila Mariana;Cyrela Legacy Vila Mariana;São Paulo;1960000.0;0.0;1450.0;0.01;4;3;2;2018-08-16 00:00:00.000;0.0;149.0;60;Cyrela Legacy Vila Mariana, Rua Dona Carolina 60, Vila Mariana, São Paulo;NuDoor;-023.5837100000;-046.6314000000
Ativo;AP2663;Apartamento;Residencial;Rua Alice de Castro 67;1;Vila Mariana;Mansão do Parque;São Paulo;2500000.0;0.0;2400.0;1100.0;4;3;4;2019-11-22 00:00:00.000;0.0;176.0;67;Mansão do Parque, Rua Alice de Castro 67, Vila Mariana, São Paulo;NuDoor;-023.5875600000;-046.6467800000
Ativo;AP2674;Apartamento;Residencial;Rua Tangará 53;1;Vila Mariana;Loft Park Ibirapuera;São Paulo;1000000.0;0.0;1000.0;300.0;2;2;2;2019-11-25 00:00:00.000;0.0;72.0;53;Loft Park Ibirapuera, Rua Tangará 53, Vila Mariana, São Paulo;NuDoor;-023.5890700000;-046.6477500000
Ativo;AP2675;Apartamento;Residencial;Rua França Pinto 954;1;Vila Mariana;Qualis;São Paulo;3200000.0;0.0;3300.0;1400.0;4;3;4;2019-11-25 00:00:00.000;0.0;213.0;954;Qualis, Rua França Pinto 954, Vila Mariana, São Paulo;NuDoor;-023.5886400000;-046.6452500000
Ativo;AP2615;Apartamento;Residencial;Avenida Jandira 631;631;Moema;Moma Moema;São Paulo;630000.0;0.0;790.0;0.0;1;0;1;2019-10-29 00:00:00.000;0.0;42.0;631;Moma Moema, Avenida Jandira 631, Moema, São Paulo;NuDoor;-023.6093200000;-046.6594800000
Ativo;AP2436;Apartamento;Residencial;Alameda Joaquim Eugênio de Lima 113;161;Jardim Paulista;Move Paulista;São Paulo;675000.0;0.0;690.0;0.0;2;0;1;2019-07-17 00:00:00.000;0.0;54.0;113;Move Paulista, Alameda Joaquim Eugênio de Lima 113, Jardim Paulista, São Paulo;NuDoor;-023.5706100000;-046.6552900000
Ativo;AP2616;Apartamento;Residencial;Praça Sebastião Gil 117;117;Pinheiros;Helbor Arte Faria Lima;São Paulo;540000.0;0.0;800.0;0.0;1;1;1;2019-10-29 00:00:00.000;0.0;41.0;117;Helbor Arte Faria Lima, Praça Sebastião Gil 117, Pinheiros, São Paulo;NuDoor;-023.5668800000;-046.6920600000
